Id,Disease
270,Ear Diseases
271,Leigh Disease
272,Confusion
273,"Abnormalities, Radiation-Induced"
274,Lipomatosis
275,Pityriasis Lichenoides
276,Prediabetic State
277,Intestinal Pseudo-Obstruction
278,"Myelinolysis, Central Pontine"
279,Bronchiolitis
280,Otitis Externa
281,Hemoperitoneum
282,"Neoplastic Cells, Circulating"
283,Paraphimosis
284,Respiratory System Abnormalities
285,"Neoplasms, Radiation-Induced"
286,Postphlebitic Syndrome
287,"Aortic Stenosis, Subvalvular"
288,"Encephalomyelitis, Autoimmune, Experimental"
289,Mast-Cell Sarcoma
290,Seroma
291,"Anemia, Neonatal"
292,Serotonin Syndrome
293,Spinal Curvatures
294,Facial Asymmetry
295,Potassium Deficiency
296,Central Nervous System Cysts
297,Epidermolysis Bullosa Dystrophica
298,Orofaciodigital Syndromes
299,Humeral Fractures
300,Enzootic Bovine Leukosis
301,Acute Chest Syndrome
302,Yaws
303,Enterotoxemia
304,Branchio-Oto-Renal Syndrome
305,"Ectodermal Dysplasia 3, Anhidrotic"
306,Hereditary Angioedema Type III
307,Chondromalacia Patellae
308,Splenosis
309,Malabsorption Syndromes
310,"Death, Sudden"
311,Genetic Predisposition to Disease
312,Blepharoptosis
313,Wiskott-Aldrich Syndrome
314,Necrosis
315,Gas Gangrene
316,Periodontal Abscess
317,Epstein-Barr Virus Infections
318,Monkeypox
319,Foot-and-Mouth Disease
320,"Pregnancy Complications, Parasitic"
321,Bronchial Hyperreactivity
322,Respiration Disorders
323,"Vasospasm, Intracranial"
324,Disorders of Sex Development
325,Cystinuria
326,Blast Injuries
327,Mandibulofacial Dysostosis
328,Osteosarcoma
329,Polyradiculoneuropathy
330,"Vasculitis, Leukocytoclastic, Cutaneous"
331,Somatoform Disorders
332,"Spherocytosis, Hereditary"
333,Peanut Hypersensitivity
334,Craniomandibular Disorders
335,Nasal Obstruction
336,Thyroglossal Cyst
337,"Red-Cell Aplasia, Pure"
338,"Adenoma, Islet Cell"
339,Conjunctival Neoplasms
340,Sacroiliitis
341,"Bone Demineralization, Pathologic"
342,Gastroparesis
343,"Sexual Dysfunctions, Psychological"
344,"Mastocytosis, Cutaneous"
345,Rubinstein-Taybi Syndrome
346,Xerophthalmia
347,Velopharyngeal Insufficiency
348,Autonomic Dysreflexia
349,Vitamin K Deficiency Bleeding
350,Osteochondroma
351,Sexual and Gender Disorders
352,Phencyclidine Abuse
353,Mongolian Spot
354,"Demyelinating Autoimmune Diseases, CNS"
355,Osteopoikilosis
356,Ganglioneuroblastoma
357,"Sarcoma, Avian"
358,Severe Combined Immunodeficiency
359,Spinal Cord Neoplasms
360,"Hypotension, Orthostatic"
361,"Cardiac Complexes, Premature"
362,Leukocytosis
363,"Conjunctivitis, Bacterial"
364,"Pneumonia, Staphylococcal"
365,Tracheal Neoplasms
366,Eosinophilia-Myalgia Syndrome
367,Phenylketonurias
368,Leukopenia
369,Pyoderma
370,Heroin Dependence
371,Sjogren's Syndrome
372,Retinitis
373,"Glomerulosclerosis, Focal Segmental"
374,"Hyperoxaluria, Primary"
375,Periodontal Diseases
376,Vitamin E Deficiency
377,"Foot Deformities, Congenital"
378,Fuchs' Endothelial Dystrophy
379,Pneumovirus Infections
380,Adrenal Rest Tumor
381,"Dermatitis, Phototoxic"
382,Prehypertension
383,Amyloid Neuropathies
384,Sigmoid Neoplasms
385,Sclerema Neonatorum
386,Multiple Endocrine Neoplasia Type 2a
387,"Enteritis, Transmissible, of Turkeys"
388,Esotropia
389,Endocardial Cushion Defects
390,Hoarseness
391,Tooth Discoloration
392,Hydrarthrosis
393,Dysmenorrhea
394,"Lower Extremity Deformities, Congenital"
395,Anterior Wall Myocardial Infarction
396,Presbyopia
397,"Jaw, Edentulous"
398,"Abnormalities, Multiple"
399,Cysts
400,"Lymphoma, Non-Hodgkin"
401,Pancreatic Neoplasms
402,Parathyroid Neoplasms
403,Myotonia Congenita
404,"Kidney Failure, Chronic"
405,"Tuberculosis, Meningeal"
406,Anthrax
407,Cowpox
408,"Hematoma, Epidural, Cranial"
409,"Colitis, Ischemic"
410,Invasive Pulmonary Aspergillosis
411,Dysgeusia
412,Bulimia Nervosa
413,Lipid Metabolism Disorders
414,"Leukemia, Feline"
415,"Osteoarthritis, Spine"
416,Periodontal Pocket
417,Ganglioglioma
418,Periventricular Nodular Heterotopia
419,"Fibrous Dysplasia, Monostotic"
420,"Paralysis, Hyperkalemic Periodic"
421,"Glossitis, Benign Migratory"
422,Sex Chromosome Disorders
423,Malignant Atrophic Papulosis
424,Amniotic Band Syndrome
425,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
426,Orbital Myositis
427,De Lange Syndrome
428,Athletic Injuries
429,Chylothorax
430,"Meningitis, Pneumococcal"
431,"Tuberculosis, Laryngeal"
432,"Myelitis, Transverse"
433,"Joint Deformities, Acquired"
434,Bronchopneumonia
435,"Cystic Adenomatoid Malformation of Lung, Congenital"
436,Dermatitis
437,Esophageal Perforation
438,Parotid Diseases
439,"Histiocytosis, Langerhans-Cell"
440,Pruritus Vulvae
441,"Anemia, Pernicious"
442,"Plasma Cell Granuloma, Pulmonary"
443,Meconium Aspiration Syndrome
444,Surgical Wound Dehiscence
445,Muscle Rigidity
446,"Alveolitis, Extrinsic Allergic"
447,Aortic Valve Insufficiency
448,Osteosclerosis
449,Esophageal Achalasia
450,"Fibrous Dysplasia, Polyostotic"
451,Dandy-Walker Syndrome
452,"Ichthyosis, X-Linked"
453,Hip Injuries
454,Eye Hemorrhage
455,Shared Paranoid Disorder
456,"Nervous System Autoimmune Disease, Experimental"
457,Epidermolysis Bullosa
458,Orthomyxoviridae Infections
459,"Bone Diseases, Metabolic"
460,Neuromuscular Diseases
461,Urologic Neoplasms
462,Fasciitis
463,Biliary Tract Diseases
464,Liver Diseases
465,"Pulmonary Disease, Chronic Obstructive"
466,Myasthenia Gravis
467,Keratitis
468,Whooping Cough
469,Serratia Infections
470,"Tuberculosis, Oral"
471,"Tuberculosis, Renal"
472,Empyema
473,Rhinitis
474,"Hypertension, Renovascular"
475,Renal Artery Obstruction
476,"Headache Disorders, Primary"
477,Hand Dermatoses
478,Bronchopulmonary Dysplasia
479,"Dyspnea, Paroxysmal"
480,"Carcinoma, Adenoid Cystic"
481,Cluster Headache
482,Inferior Wall Myocardial Infarction
483,"Fractures, Comminuted"
484,Gilbert Disease
485,Channelopathies
486,"Apraxia, Ideomotor"
487,Central Nervous System Protozoal Infections
488,Duane Retraction Syndrome
489,Neurofibrosarcoma
490,Pinta
491,Hemorrhagic Septicemia
492,Gestational Trophoblastic Neoplasms
493,Dyspnea
494,"Pneumonia, Pneumocystis"
495,Zygomycosis
496,DNA Virus Infections
497,"Stomatitis, Herpetic"
498,Chylous Ascites
499,Placenta Accreta
500,Drowning
501,Cadmium Poisoning
502,Trophoblastic Neoplasms
503,"Granulomatous Disease, Chronic"
504,"Dermatitis, Irritant"
505,Steatorrhea
506,Aniseikonia
507,"Anemia, Myelophthisic"
508,"Hematoma, Subdural, Intracranial"
509,Ectopia Lentis
510,"Carcinoma, Papillary, Follicular"
511,Neointima
512,Mouth Neoplasms
513,"Still's Disease, Adult-Onset"
514,Dermatomyositis
515,Deglutition Disorders
516,Tetany
517,Nutrition Disorders
518,Substance-Related Disorders
519,Rocky Mountain Spotted Fever
520,"Tuberculosis, Gastrointestinal"
521,"Tuberculosis, Hepatic"
522,"Candidiasis, Oral"
523,Picornaviridae Infections
524,Biliary Fistula
525,Aortic Rupture
526,"Embolism, Fat"
527,"Obesity, Morbid"
528,"Jaundice, Obstructive"
529,Multiple Organ Failure
530,Friedreich Ataxia
531,"Bone Cysts, Aneurysmal"
532,Intestinal Obstruction
533,Laryngeal Edema
534,Smooth Muscle Tumor
535,Popliteal Cyst
536,Berylliosis
537,"Diverticulum, Stomach"
538,Encephalomalacia
539,Hyperlipoproteinemia Type I
540,Swine Erysipelas
541,"Pneumonia, Atypical Interstitial, of Cattle"
542,Alcoholism
543,Teratoma
544,Exocrine Pancreatic Insufficiency
545,Migraine Disorders
546,"Tuberculosis, Pleural"
547,Schistosomiasis mansoni
548,"Purpura, Schoenlein-Henoch"
549,Gas Poisoning
550,Hypopharyngeal Neoplasms
551,Megacolon
552,Mesenteric Vascular Occlusion
553,"Hematoma, Subdural"
554,Pyelitis
555,"Cardiac Output, Low"
556,Incontinentia Pigmenti
557,Vocal Cord Paralysis
558,Reflex Sympathetic Dystrophy
559,Hypoalbuminemia
560,Vitamin K Deficiency
561,"Eye Infections, Parasitic"
562,Smith-Lemli-Opitz Syndrome
563,Multiple Trauma
564,Cystocele
565,"Hyperbilirubinemia, Neonatal"
566,Hepatic Insufficiency
567,"Cardiac Output, High"
568,"Leukemia, Large Granular Lymphocytic"
569,Osteochondromatosis
570,Crush Syndrome
571,"Drug-Induced Liver Injury, Chronic"
572,"Optic Atrophy, Autosomal Dominant"
573,Lichen Planus
574,Calciphylaxis
575,Overbite
576,Tendon Entrapment
577,Dental Calculus
578,Combat Disorders
579,Radiation Injuries
580,"Carcinoma, Renal Cell"
581,Heart Aneurysm
582,Lymphatic Diseases
583,Hypernatremia
584,Astroviridae Infections
585,Mycosis Fungoides
586,"Glomerulonephritis, IGA"
587,Respiratory Paralysis
588,Nail Diseases
589,Calcinosis
590,"Hyperglycinemia, Nonketotic"
591,Orchitis
592,Hemoglobinopathies
593,"Burns, Electric"
594,Scimitar Syndrome
595,HIV-Associated Lipodystrophy Syndrome
596,Ankylosis
597,"Angina Pectoris, Variant"
598,Marek Disease
599,"Carcinoma, Neuroendocrine"
600,"Nevus, Pigmented"
601,Cubital Tunnel Syndrome
602,Favism
603,"Optic Atrophies, Hereditary"
604,Dracunculiasis
605,Oesophagostomiasis
606,Angiokeratoma
607,Agnosia
608,Hypotrichosis
609,"Jaundice, Chronic Idiopathic"
610,"Empyema, Tuberculous"
611,Epidermolysis Bullosa Simplex
612,Intestinal Polyposis
613,Struma Ovarii
614,Cerebrospinal Fluid Otorrhea
615,WAGR Syndrome
616,Factor VII Deficiency
617,Colonic Neoplasms
618,Kyphosis
619,"Tuberculosis, Cutaneous"
620,Colorado Tick Fever
621,Loiasis
622,Heart Block
623,Nervous System Malformations
624,Cranial Nerve Neoplasms
625,Leukemic Infiltration
626,Spinal Osteophytosis
627,Angiomatosis
628,Conjunctival Diseases
629,Eyelid Diseases
630,Tonsillar Neoplasms
631,Cysticercosis
632,Endometritis
633,Papillon-Lefevre Disease
634,Keratoconjunctivitis Sicca
635,Argyria
636,Hematocele
637,Knee Dislocation
638,Pulmonary Atresia
639,"Dermatitis, Perioral"
640,Hereditary Central Nervous System Demyelinating Diseases
641,Neurologic Manifestations
642,Stupor
643,Ulnar Nerve Compression Syndromes
644,Kernicterus
645,Trochlear Nerve Diseases
646,Vaginismus
647,Chromosome Breakage
648,"Porphyria, Erythropoietic"
649,"Pneumonia of Swine, Mycoplasmal"
650,HTLV-II Infections
651,Mucopolysaccharidosis III
652,"Pain, Referred"
653,Post-Traumatic Headache
654,Eye Burns
655,"Gonadal Dysgenesis, 46,XX"
656,Mitochondrial Diseases
657,Obesity
658,Carcinoma
659,Head and Neck Neoplasms
660,Cerebral Hemorrhage
661,Neuralgia
662,Arsenic Poisoning
663,Heart Failure
664,Goiter
665,"Leukoencephalopathy, Progressive Multifocal"
666,Smallpox
667,Bovine Virus Diarrhea-Mucosal Disease
668,Blast Crisis
669,Rickets
670,Gallbladder Diseases
671,"Hepatitis, Alcoholic"
672,Behcet Syndrome
673,Breast Diseases
674,"Skin Diseases, Papulosquamous"
675,Chromosome Aberrations
676,Fat Necrosis
677,Foreign-Body Migration
678,Cholestasis
679,Malacoplakia
680,"Leukemia, Prolymphocytic"
681,Neuroleptic Malignant Syndrome
682,Salpingitis
683,Disease
684,"Purpura, Thrombotic Thrombocytopenic"
685,Balanitis
686,"Optic Neuropathy, Ischemic"
687,Erectile Dysfunction
688,"Rupture, Spontaneous"
689,Apudoma
690,Arrhythmogenic Right Ventricular Dysplasia
691,"Neoplasms, Connective Tissue"
692,Palatal Neoplasms
693,Pancoast Syndrome
694,Camurati-Engelmann Syndrome
695,Giant Axonal Neuropathy
696,Bile Reflux
697,"Myasthenia Gravis, Neonatal"
698,"Muscular Dystrophy, Facioscapulohumeral"
699,Eye Manifestations
700,Microvascular Angina
701,Fluoride Poisoning
702,Tauopathies
703,Open Bite
704,Piedra
705,Balantidiasis
706,Uremia
707,Vascular Diseases
708,Nerve Degeneration
709,"Pregnancy Complications, Infectious"
710,Germinoma
711,Gastritis
712,Splenic Diseases
713,Hyponatremia
714,"Leprosy, Multibacillary"
715,"Arthritis, Reactive"
716,Coxsackievirus Infections
717,Paraparesis
718,Mucositis
719,"Histiocytosis, Non-Langerhans-Cell"
720,Mouth Breathing
721,Spinal Muscular Atrophies of Childhood
722,"Glaucoma, Open-Angle"
723,Neuroectodermal Tumors
724,Dental Pulp Diseases
725,"Myasthenia Gravis, Autoimmune, Experimental"
726,"Head Injuries, Penetrating"
727,"Anxiety, Separation"
728,"Anemia, Iron-Deficiency"
729,XYY Karyotype
730,Anisocoria
731,Sialic Acid Storage Disease
732,"Colitis, Lymphocytic"
733,Hand-Arm Vibration Syndrome
734,"Retinal Necrosis Syndrome, Acute"
735,Dihydropyrimidine Dehydrogenase Deficiency
736,Respiratory Tract Infections
737,Colorectal Neoplasms
738,"Angina, Unstable"
739,Antisocial Personality Disorder
740,Helminthiasis
741,Hookworm Infections
742,Osteitis Deformans
743,Nasopharyngeal Diseases
744,"Nystagmus, Pathologic"
745,Scotoma
746,Pericarditis
747,Protein-Energy Malnutrition
748,"Granuloma, Plasma Cell"
749,"Wounds, Stab"
750,"Acidosis, Lactic"
751,Latent Tuberculosis
752,"Goiter, Substernal"
753,Chronic Disease
754,Ameloblastoma
755,Otosclerosis
756,Fetal Macrosomia
757,Landau-Kleffner Syndrome
758,Polymyositis
759,REM Sleep Behavior Disorder
760,Corneal Opacity
761,Angiolipoma
762,Osteophyte
763,Sinus Pericranii
764,Acquired Hyperostosis Syndrome
765,"Neoplasms, Experimental"
766,"Stress Disorders, Post-Traumatic"
767,Amebiasis
768,Meningioma
769,Giant Cell Arteritis
770,Placenta Diseases
771,Vasculitis
772,Hematologic Diseases
773,Poisoning
774,Plague
775,Ovarian Cysts
776,Subdural Effusion
777,Spinal Cord Injuries
778,"Hemangioendothelioma, Epithelioid"
779,Thrombosis
780,Sarcopenia
781,Fucosidosis
782,Callosities
783,"Coma, Post-Head Injury"
784,Lipoma
785,Biliary Dyskinesia
786,"Liver Abscess, Amebic"
787,African Swine Fever
788,Sparganosis
789,"Cystadenocarcinoma, Serous"
790,Pneumoperitoneum
791,Brugada Syndrome
792,"Hepatitis, Infectious Canine"
793,Cholesteatoma
794,"Leukemia, Plasma Cell"
795,"Fibromatosis, Aggressive"
796,Dicrocoeliasis
797,Respiratory Aspiration
798,Orbital Neoplasms
799,Peri-Implantitis
800,Dysthymic Disorder
801,Aniridia
802,Lymphogranuloma Venereum
803,Klatskin's Tumor
804,Microcephaly
805,Gliosis
806,Craniopharyngioma
807,"Multiple Sclerosis, Relapsing-Remitting"
808,Consciousness Disorders
809,Adrenal Insufficiency
810,Facial Injuries
811,"Pleurodynia, Epidemic"
812,Neurocysticercosis
813,"Leishmaniasis, Cutaneous"
814,Myiasis
815,"Lymphoma, Mantle-Cell"
816,"Cholestasis, Extrahepatic"
817,Pulmonary Emphysema
818,Lethargy
819,Diabetic Angiopathies
820,Myxedema
821,Esophageal Motility Disorders
822,Polyuria
823,Myocarditis
824,Thromboangiitis Obliterans
825,Clubfoot
826,Tooth Erosion
827,Skin Ulcer
828,Bronchomalacia
829,"Malocclusion, Angle Class II"
830,Gait Apraxia
831,Nephritis
832,"Encephalopathy, Bovine Spongiform"
833,Body Dysmorphic Disorders
834,Carcinoid Heart Disease
835,"Adenoma, Villous"
836,Manganese Poisoning
837,"Chondrosarcoma, Mesenchymal"
838,Spinocerebellar Ataxias
839,"Hearing Loss, Bilateral"
840,Jervell-Lange Nielsen Syndrome
841,Paraneoplastic Cerebellar Degeneration
842,Fibrocystic Breast Disease
843,Pars Planitis
844,"Pre-Excitation, Mahaim-Type"
845,Isochromosomes
846,Nervous System Neoplasms
847,Penile Induration
848,"Fatigue Syndrome, Chronic"
849,Hyperpigmentation
850,Pelvic Inflammatory Disease
851,Epidermal Cyst
852,Immunoproliferative Small Intestinal Disease
853,Tooth Demineralization
854,Arteriovenous Fistula
855,"Shock, Cardiogenic"
856,Hypogonadism
857,Tension-Type Headache
858,Esophageal Fistula
859,Uveoparotid Fever
860,Fallopian Tube Neoplasms
861,Maxillary Diseases
862,Enchondromatosis
863,Radiation Pneumonitis
864,Atrophy
865,Hypervitaminosis A
866,Bone Resorption
867,Malocclusion
868,Adrenocortical Carcinoma
869,Gait Ataxia
870,Hepatoblastoma
871,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
872,"Leukemia, Experimental"
873,Kluver-Bucy Syndrome
874,"Epilepsy, Benign Neonatal"
875,Pyruvate Carboxylase Deficiency Disease
876,Wandering Spleen
877,Rheumatic Heart Disease
878,Cecal Diseases
879,Stroke
880,Polyneuropathies
881,Giant Lymph Node Hyperplasia
882,Mood Disorders
883,"Tuberculoma, Intracranial"
884,"Tuberculosis, Miliary"
885,Rift Valley Fever
886,"Hepatitis B, Chronic"
887,Retinoblastoma
888,Micrognathism
889,IgG Deficiency
890,Lymphopenia
891,Mastocytosis
892,"Histiocytoma, Malignant Fibrous"
893,Gangrene
894,Rectal Prolapse
895,Latex Hypersensitivity
896,"Hip Dislocation, Congenital"
897,Legg-Perthes Disease
898,Sagittal Sinus Thrombosis
899,Hydroa Vacciniforme
900,Tinea Versicolor
901,"Hand Deformities, Acquired"
902,Dientamoebiasis
903,Pubic Symphysis Diastasis
904,Salivary Gland Calculi
905,"Hyalinosis, Systemic"
906,"Muscular Dystrophy, Emery-Dreifuss"
907,Hernia
908,"Leukemia, Myeloid"
909,"Syphilis, Cutaneous"
910,Esophageal and Gastric Varices
911,"Enterocolitis, Necrotizing"
912,Periapical Granuloma
913,"Aortic Aneurysm, Abdominal"
914,Churg-Strauss Syndrome
915,Thrombocytosis
916,Sunstroke
917,Bile Duct Neoplasms
918,Solitary Pulmonary Nodule
919,Pruritus
920,Biliary Atresia
921,Chagas Cardiomyopathy
922,Thoracic Injuries
923,Pulmonary Valve Stenosis
924,Neurofibromatosis 2
925,Myofascial Pain Syndromes
926,Leriche Syndrome
927,"Dyslexia, Acquired"
928,"Leukemia, Megakaryoblastic, Acute"
929,Urinary Bladder Diseases
930,Auditory Perceptual Disorders
931,"von Willebrand Disease, Type 2"
932,Lens Subluxation
933,Chromosomal Instability
934,Opisthorchiasis
935,Peripheral Nervous System Diseases
936,Anxiety Disorders
937,Eating Disorders
938,Escherichia coli Infections
939,"Tuberculosis, Urogenital"
940,Sialorrhea
941,Intracranial Hemorrhages
942,"Uveitis, Posterior"
943,Arterial Occlusive Diseases
944,Heart Injuries
945,Perinephritis
946,Hidradenitis
947,Chondrosarcoma
948,IgA Deficiency
949,Cheilitis
950,Ocular Hypertension
951,Pulmonary Veno-Occlusive Disease
952,Olfaction Disorders
953,"Urinary Bladder, Overactive"
954,Coronary Vasospasm
955,Mucolipidoses
956,Pseudohypoparathyroidism
957,Fetal Nutrition Disorders
958,Dyslexia
959,Neuroacanthocytosis
960,Susac Syndrome
961,Lysosomal Storage Diseases
962,Epispadias
963,Mesial Movement of Teeth
964,"Pemphigus, Benign Familial"
965,"Bone Diseases, Endocrine"
966,Piriformis Muscle Syndrome
967,Hyperthyroxinemia
968,Developmental Disabilities
969,"Meningitis, Viral"
970,"Ischemic Attack, Transient"
971,"Anemia, Megaloblastic"
972,"Endocarditis, Subacute Bacterial"
973,Melioidosis
974,Sporotrichosis
975,"Fibromatosis, Abdominal"
976,Dysgerminoma
977,Sigmoid Diseases
978,Duodenal Obstruction
979,Respiratory Hypersensitivity
980,Corneal Diseases
